obs,West,South,Midwest,NorthEast,Mortality,Per_65,Population,Female,Black,Latino,Church,Dem,GDP_pc,Male
"Alabama",0,1,0,0,9.2,13.9,4779736,51.4578211014165,26.2,3.9,58,38.4,39.0425531914894,48.5421788985835
"Alaska",1,0,0,0,6.5,7.7,710231,47.956650723497,3.3,5.5,31,40.8,74.1428571428571,52.043349276503
"Arizona",1,0,0,0,6.4,13.8,6392017,50.3157923391005,4.1,29.6,39,44.6,39.25,49.6842076608995
"Arkansas",0,1,0,0,7.6,14.4,2915918,50.9027002816952,15.4,6.4,53,36.9,37.7931034482759,49.0972997183048
"California",1,0,0,0,5.1,11.4,37253956,50.2929836498438,6.2,37.6,35,60.2,52.1744791666667,49.7070163501562
"Colorado",1,0,0,0,6.2,10.9,5029196,49.879424066988,4,20.7,35,51.5,54.8,50.120575933012
"Connecticut",0,0,0,1,6.1,14.2,3574097,51.327174388384,10.1,13.4,32,58.1,63.6944444444444,48.672825611616
"Delaware",0,1,0,0,8,14.4,897934,51.5622529050019,21.4,8.2,38,58.6,73.3333333333333,48.4377470949981
"District of Col",0,1,0,0,11.5,11.4,601723,52.7653089544525,50.7,9.1,36,90.9,183,47.2346910455475
"Florida",0,1,0,0,7.1,17.3,18801310,51.1238578588407,16,22.5,40,50,39.4517766497462,48.8761421411593
"Georgia",0,1,0,0,7.8,10.7,9687653,51.1835219531501,30.5,8.8,51,45.5,43.7979797979798,48.8164780468499
"Hawaii",1,0,0,0,6.1,14.3,1360301,49.9196868928274,1.6,8.9,31,70.5,51.7142857142857,50.0803131071726
"Idaho",1,0,0,0,6,12.4,1567582,49.9022060727924,0.6,11.2,41,32.6,36.375,50.0977939272076
"Illinois",0,0,1,0,7,12.5,12830632,50.9589551005749,14.5,15.8,42,57.6,53.8914728682171,49.0410448994251
"Indiana",0,0,1,0,7.4,13,6483802,50.8045279606009,9.1,6,44,43.9,45.9384615384615,49.1954720393991
"Iowa",0,0,1,0,5.3,14.9,3046355,50.4877468318696,2.9,5,45,52,50.8,49.5122531681304
"Kansas",0,0,1,0,7.5,13.2,2853118,50.3908355700676,5.9,10.5,46,38,47.9310344827586,49.6091644299324
"Kentucky",0,1,0,0,6.8,13.3,4339367,50.8003817146602,7.8,3.1,48,37.8,40.3488372093023,49.1996182853398
"Louisiana",0,1,0,0,9,12.3,4533372,51.0454469653053,32,4.2,56,40.6,52.8913043478261,48.9545530346947
"Maine",0,0,0,1,5.9,15.9,1328361,51.0633028220491,1.2,1.3,27,56.3,38.3571428571429,48.9366971779509
"Maryland",0,1,0,0,7.7,12.3,5773552,51.645676699543,29.4,8.2,40,62,53.8474576271186,48.354323300457
"Massachusetts",0,0,0,1,5,13.8,6547629,51.6370276935361,6.6,9.6,29,60.7,61.1818181818182,48.3629723064639
"Michigan",0,0,1,0,7.7,13.8,9883640,50.9480919984945,14.2,4.4,40,54.2,39.2647058823529,49.0519080015055
"Minnesota",0,0,1,0,5.4,12.9,5303925,50.3738834919423,5.2,4.7,44,52.7,54.5740740740741,49.6261165080577
"Mississippi",0,1,0,0,10,12.8,2967297,51.4291963359246,37,2.7,63,43.8,33.8333333333333,48.5708036640754
"Missouri",0,0,1,0,7.2,14,5988927,51.0183209780316,11.6,3.5,44,44.4,43.1333333333333,48.9816790219684
"Montana",1,0,0,0,6.6,14.8,989415,49.8019536796996,0.4,2.9,36,41.7,40.4,50.1980463203004
"Nebraska",0,0,1,0,5.9,13.5,1826341,50.3764083487147,4.5,9.2,45,38,55.3333333333333,49.6235916512853
"Nevada",1,0,0,0,5.8,12,2700551,49.5060082183229,8.1,26.5,30,52.4,47.7142857142857,50.4939917816772
"New Hampshire",0,0,0,1,4.8,13.5,1316470,50.6715686646866,1.1,2.8,26,52,46.2142857142857,49.3284313353134
"New Jersey",0,0,0,1,5.3,13.5,8791894,51.3233439802618,13.7,17.7,38,58.3,56.4444444444444,48.6766560197382
"New Mexico",1,0,0,0,5.7,13.2,2059179,50.5909393986632,2.1,46.3,43,53,38.3809523809524,49.4090606013367
"New York",0,0,0,1,5.5,13.5,19378102,51.6095693995212,15.9,17.6,35,63.4,62.159793814433,48.3904306004788
"North Carolina",0,1,0,0,8.2,12.9,9535483,51.2820483241384,21.5,8.4,53,48.4,47.0103092783505,48.7179516758616
"North Dakota",0,0,1,0,6.6,14.5,672591,49.4694398230128,1.2,2,49,38.7,65.7142857142857,50.5305601769872
"Ohio",0,0,1,0,7.7,14.1,11536504,51.1796988065015,12.2,3.1,41,50.7,43.9137931034483,48.8203011934985
"Oklahoma",0,1,0,0,7.8,13.5,3751351,50.498447092794,7.4,8.9,49,33.2,43.5135135135135,49.501552907206
"Oregon",1,0,0,0,5.2,13.9,3831074,50.5099092317194,1.8,11.7,31,54.2,50.9487179487179,49.4900907682806
"Pennsylvania",0,0,0,1,7.3,15.4,12702379,51.2661132217831,10.8,5.7,42,52.1,47.3149606299213,48.7338867782169
"Rhode Island",0,0,0,1,6.4,14.4,1052567,51.6990367359037,5.7,12.4,32,62.7,46.3636363636364,48.3009632640963
"South Carolina",0,1,0,0,7.9,13.7,4625364,51.3529962182436,27.9,5.1,56,44.1,38.304347826087,48.6470037817564
"South Dakota",0,0,1,0,7.1,14.3,814180,49.9642585177725,1.3,2.7,47,39.9,53.125,50.0357414822275
"Tennessee",0,1,0,0,8.2,13.4,6346105,51.253501163312,16.7,4.6,54,39.1,43.28125,48.746498836688
"Texas",0,1,0,0,6.2,10.3,25145561,50.3996749167776,11.8,37.6,50,41.4,54.3735408560311,49.6003250832224
"Utah",1,0,0,0,5,9,2763885,49.7693644996083,1.1,13,56,24.7,46.6071428571429,50.2306355003917
"Vermont",0,0,0,1,5.3,14.6,625741,50.7454362108284,1,1.5,23,66.6,45.5,49.2545637891716
"Virginia",0,1,0,0,7.3,12.2,8001024,50.9314932688616,19.4,7.9,44,51.2,54.3780487804878,49.0685067311384
"Washington",1,0,0,0,5.1,12.3,6724540,50.1868231879058,3.6,11.2,32,56.2,55.25,49.8131768120942
"West Virginia",0,1,0,0,7.6,16,1852994,50.6967642636727,3.4,1.2,42,35.5,38.5555555555556,49.3032357363273
"Wisconsin",0,0,1,0,6.4,13.7,5686986,50.3708994535946,6.3,5.9,40,52.9,45.0862068965517,49.6291005464054
"Wyoming",1,0,0,0,6.8,12.4,563626,49.002175201286,0.8,8.9,34,27.8,76.8,50.997824798714
